Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Nebraska,2009-10,Age,18-24 Years,55.0,48.6 to 61.3,356
Seasonal Influenza,States,New Jersey,2009-10,Age,18-24 Years,25.4,19.3 to 32.6,207
Seasonal Influenza,States,New York,2009-10,Age,18-24 Years,48.2,41.3 to 55.2,327
Seasonal Influenza,States,Ohio,2009-10,Age,18-24 Years,31.3,24.4 to 39.2,291
Seasonal Influenza,States,Oklahoma,2009-10,Age,18-24 Years,46.2,39.1 to 53.4,509
Seasonal Influenza,States,Rhode Island,2009-10,Age,18-24 Years,59.4,51.4 to 67.0,203
Seasonal Influenza,States,South Carolina,2009-10,Age,18-24 Years,39.4,29.3 to 50.6,227
Seasonal Influenza,States,Tennessee,2009-10,Age,18-24 Years,30.0,22.5 to 38.7,222
Seasonal Influenza,States,Texas,2009-10,Age,18-24 Years,36.9,30.1 to 44.2,298
Seasonal Influenza,National,U.S. Median,2009-10,Age,18-24 Years,41.6,,276
Seasonal Influenza,States,Utah,2009-10,Age,18-24 Years,49.7,43.9 to 55.6,342
Seasonal Influenza,States,Vermont,2009-10,Age,18-24 Years,63.4,55.8 to 70.4,171
Seasonal Influenza,States,Virginia,2009-10,Age,18-24 Years,47.5,33.8 to 61.5,90
Seasonal Influenza,States,Washington,2009-10,Age,18-24 Years,49.7,42.4 to 57.0,315
Seasonal Influenza,States,West Virginia,2009-10,Age,18-24 Years,35.8,30.5 to 41.3,488
Seasonal Influenza,States,Wyoming,2009-10,Age,18-24 Years,52.4,44.2 to 60.6,208
Seasonal Influenza,States,Arkansas,2009-10,Age,25-34 Years,49.1,43.3 to 54.9,495
Seasonal Influenza,States,Colorado,2009-10,Age,25-34 Years,53.7,48.7 to 58.7,700
Seasonal Influenza,States,Florida,2009-10,Age,25-34 Years,30.0,25.5 to 35.0,489
Seasonal Influenza,States,Georgia,2009-10,Age,25-34 Years,33.4,26.3 to 41.3,321
Seasonal Influenza,States,Hawaii,2009-10,Age,25-34 Years,54.6,49.0 to 60.0,508
Seasonal Influenza,States,Illinois,2009-10,Age,25-34 Years,52.7,48.3 to 57.1,570
Seasonal Influenza,States,Louisiana,2009-10,Age,25-34 Years,45.2,37.9 to 52.7,259
Seasonal Influenza,States,Maine,2009-10,Age,25-34 Years,64.4,58.8 to 69.7,384
Seasonal Influenza,States,Maryland,2009-10,Age,25-34 Years,48.8,42.6 to 55.1,386
Seasonal Influenza,States,Massachusetts,2009-10,Age,25-34 Years,70.2,65.0 to 75.0,576
Seasonal Influenza,States,Michigan,2009-10,Age,25-34 Years,48.4,43.5 to 53.4,496
Seasonal Influenza,States,Minnesota,2009-10,Age,25-34 Years,71.3,67.1 to 75.1,555
Seasonal Influenza,States,Mississippi,2009-10,Age,25-34 Years,41.2,35.4 to 47.3,378
Seasonal Influenza,States,Missouri,2009-10,Age,25-34 Years,49.5,44.2 to 54.8,495
Seasonal Influenza,States,Nebraska,2009-10,Age,25-34 Years,71.1,67.0 to 74.8,672
Seasonal Influenza,States,New Jersey,2009-10,Age,25-34 Years,37.8,33.7 to 42.0,621
Seasonal Influenza,States,New York,2009-10,Age,25-34 Years,50.8,46.6 to 54.9,883
Seasonal Influenza,States,Ohio,2009-10,Age,25-34 Years,49.2,43.1 to 55.4,416
Seasonal Influenza,States,Oklahoma,2009-10,Age,25-34 Years,52.2,46.2 to 58.2,735
Seasonal Influenza,States,Rhode Island,2009-10,Age,25-34 Years,65.6,60.2 to 70.7,436
Seasonal Influenza,States,South Carolina,2009-10,Age,25-34 Years,50.0,40.6 to 59.4,327
Seasonal Influenza,States,Tennessee,2009-10,Age,25-34 Years,48.0,40.9 to 55.1,331
Seasonal Influenza,States,Texas,2009-10,Age,25-34 Years,48.8,43.0 to 54.5,431
Seasonal Influenza,National,U.S. Median,2009-10,Age,25-34 Years,50.0,,495
Seasonal Influenza,States,Utah,2009-10,Age,25-34 Years,61.5,57.2 to 65.5,645
Seasonal Influenza,States,Vermont,2009-10,Age,25-34 Years,66.6,61.8 to 71.0,399
Seasonal Influenza,States,Virginia,2009-10,Age,25-34 Years,48.2,38.2 to 58.3,156
Seasonal Influenza,States,Washington,2009-10,Age,25-34 Years,55.2,49.7 to 60.6,568
Seasonal Influenza,States,West Virginia,2009-10,Age,25-34 Years,49.1,43.8 to 54.5,501
Seasonal Influenza,States,Wyoming,2009-10,Age,25-34 Years,55.8,49.7 to 61.8,336
Seasonal Influenza,States,Arkansas,2009-10,Age,≥35 Years,64.7,49.2 to 77.6,71
Seasonal Influenza,States,Colorado,2009-10,Age,≥35 Years,68.7,59.1 to 76.9,209
Seasonal Influenza,States,Florida,2009-10,Age,≥35 Years,29.5,21.7 to 38.8,152
Seasonal Influenza,States,Georgia,2009-10,Age,≥35 Years,46.1,29.5 to 63.6,74
Seasonal Influenza,States,Hawaii,2009-10,Age,≥35 Years,45.0,35.7 to 54.7,170
Seasonal Influenza,States,Illinois,2009-10,Age,≥35 Years,52.1,44.2 to 59.9,180
Seasonal Influenza,States,Louisiana,2009-10,Age,≥35 Years,50.5,35.3 to 65.7,68
Seasonal Influenza,States,Maine,2009-10,Age,≥35 Years,57.6,45.7 to 68.6,89
Seasonal Influenza,States,Maryland,2009-10,Age,≥35 Years,54.7,49.6 to 59.7,524
Seasonal Influenza,States,Massachusetts,2009-10,Age,≥35 Years,78.0,68.7 to 85.1,185
Seasonal Influenza,States,Michigan,2009-10,Age,≥35 Years,43.2,34.0 to 52.9,126
Seasonal Influenza,States,Minnesota,2009-10,Age,≥35 Years,67.2,57.1 to 76.0,99
Seasonal Influenza,States,Mississippi,2009-10,Age,≥35 Years,39.3,25.6 to 55.0,63
Seasonal Influenza,States,Missouri,2009-10,Age,≥35 Years,53.7,42.3 to 64.7,110
Seasonal Influenza,States,Nebraska,2009-10,Age,≥35 Years,60.2,50.1 to 69.6,136
Seasonal Influenza,States,New Jersey,2009-10,Age,≥35 Years,43.7,36.8 to 50.9,214
Seasonal Influenza,States,New York,2009-10,Age,≥35 Years,50.9,44.2 to 57.5,349
Seasonal Influenza,States,Ohio,2009-10,Age,≥35 Years,47.7,35.3 to 60.4,99
Seasonal Influenza,States,Oklahoma,2009-10,Age,≥35 Years,48.6,32.3 to 65.2,135
Seasonal Influenza,States,Rhode Island,2009-10,Age,≥35 Years,66.7,57.3 to 74.9,158
Seasonal Influenza,States,South Carolina,2009-10,Age,≥35 Years,47.6,32.0 to 63.6,93
Seasonal Influenza,States,Tennessee,2009-10,Age,≥35 Years,46.9,33.1 to 61.2,72
Seasonal Influenza,States,Texas,2009-10,Age,≥35 Years,54.0,42.8 to 64.8,123
Seasonal Influenza,National,U.S. Median,2009-10,Age,≥35 Years,53.8,,123
Seasonal Influenza,States,Utah,2009-10,Age,≥35 Years,60.5,49.4 to 70.6,101
Seasonal Influenza,States,Vermont,2009-10,Age,≥35 Years,72.2,64.7 to 78.7,159
Seasonal Influenza,States,Virginia,2009-10,Age,≥35 Years,64.3,48.3 to 77.6,63
Seasonal Influenza,States,Washington,2009-10,Age,≥35 Years,53.8,43.3 to 64.0,146
Seasonal Influenza,States,West Virginia,2009-10,Age,≥35 Years,63.8,49.6 to 76.0,81
Seasonal Influenza,States,Wyoming,2009-10,Age,≥35 Years,69.1,54.0 to 81.1,60
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",35.1,26.1 to 45.4,179
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,29
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,"Black, Non-Hispanic",16.0,10.4 to 23.8,181
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",15.7,9.4 to 25.2,226
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,17
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.1,26.2 to 43.0,155
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,"Black, Non-Hispanic",28.6,20.5 to 38.5,194
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,7
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.3,27.2 to 42.3,374
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,"Black, Non-Hispanic",53.7,47.5 to 59.8,255
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.7,30.1 to 39.6,412
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,"Black, Non-Hispanic",63.4,53.2 to 72.5,136
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,"Black, Non-Hispanic",26.4,21.3 to 32.3,438
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,"Black, Non-Hispanic",25.9,17.4 to 36.8,115
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,"Black, Non-Hispanic",57.1,50.8 to 63.1,206
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.8,15.2 to 27.8,201
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,"Black, Non-Hispanic",36.8,29.1 to 45.2,264
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,"Black, Non-Hispanic",33.3,27.2 to 40.1,316
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.5,18.6 to 48.1,128
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,"Black, Non-Hispanic",46.1,31.1 to 61.9,53
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,"Black, Non-Hispanic",33.0,22.9 to 45.0,276
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.0,19.8 to 42.7,119
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.1,24.8 to 36.1,253
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.1,,179
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,4
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,6
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",36.9,22.1 to 54.6,65
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,"Black, Non-Hispanic",58.8,51.6 to 65.6,186
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",43.3,24.7 to 64.0,43
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,2
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,Hispanic,40.7,28.0 to 54.8,90
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,Hispanic,51.7,44.4 to 58.9,360
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,Hispanic,21.9,16.5 to 28.4,262
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,Hispanic,31.8,20.2 to 46.4,72
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,Hispanic,48.2,38.6 to 57.9,167
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,Hispanic,45.8,39.2 to 52.4,239
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,Hispanic,*,*,21
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,Hispanic,*,*,6
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,Hispanic,29.4,18.0 to 44.1,100
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,Hispanic,65.6,59.4 to 71.3,246
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,Hispanic,*,*,5
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,Hispanic,75.5,65.0 to 83.7,90
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,Hispanic,*,*,21
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,Hispanic,42.1,25.5 to 60.8,36
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,Hispanic,55.5,49.1 to 61.7,217
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,Hispanic,35.2,29.1 to 41.8,244
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,Hispanic,50.8,44.2 to 57.4,372
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,Hispanic,*,*,19
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,Hispanic,26.5,17.0 to 38.9,148
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,Hispanic,64.2,55.5 to 72.0,184
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,Hispanic,†,†,42
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,Hispanic,†,†,33
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,Hispanic,43.9,37.3 to 50.7,311
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,Hispanic,49.4,,100
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,Hispanic,51.1,44.1 to 58.1,238
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,Hispanic,*,*,8
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,Hispanic,52.5,31.3 to 72.8,35
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,Hispanic,50.5,43.7 to 57.4,222
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,Hispanic,*,*,7
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,Hispanic,54.5,47.2 to 61.6,154
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",53.2,37.2 to 68.5,67
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,35
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",38.5,19.4 to 62.0,35
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.3,45.1 to 55.4,607
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",60.8,47.8 to 72.5,69
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,12
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",52.2,37.8 to 66.2,114
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",68.7,62.4 to 74.4,233
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",26.1,15.0 to 41.5,47
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",62.6,50.7 to 73.1,134
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,15
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",42.4,22.9 to 64.6,31
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",62.9,57.2 to 68.3,259
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",31.5,25.7 to 37.9,219
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",47.8,39.3 to 56.5,199
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,27
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",54.3,43.1 to 65.0,235
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",77.7,65.8 to 86.3,87
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,28
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.1,33.1 to 67.2,36
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",53.8,,47
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.0,47.3 to 76.4,52
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,29
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.4,50.4 to 62.3,342
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,14
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",54.3,42.7 to 65.5,60
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,"White, Non-Hispanic",48.9,44.2 to 53.6,763
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.9,49.2 to 58.5,857
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.9,28.0 to 38.2,447
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,"White, Non-Hispanic",37.1,28.7 to 46.2,278
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,"White, Non-Hispanic",52.8,43.7 to 61.7,181
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,"White, Non-Hispanic",50.8,46.5 to 55.0,597
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.4,38.0 to 50.9,312
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,"White, Non-Hispanic",63.9,59.6 to 67.9,677
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,"White, Non-Hispanic",55.9,49.3 to 62.3,491
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,"White, Non-Hispanic",69.6,63.7 to 75.0,260
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,"White, Non-Hispanic",49.1,44.6 to 53.6,534
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,"White, Non-Hispanic",68.5,64.4 to 72.3,546
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,"White, Non-Hispanic",47.1,41.4 to 52.9,388
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,"White, Non-Hispanic",46.4,42.3 to 50.6,786
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,"White, Non-Hispanic",68.3,64.1 to 72.1,515
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.3,39.3 to 49.5,388
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,"White, Non-Hispanic",54.7,50.2 to 59.0,736
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.5,39.2 to 49.9,466
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,"White, Non-Hispanic",54.0,48.6 to 59.3,921
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,"White, Non-Hispanic",63.2,58.0 to 68.2,473
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.7,45.2 to 61.9,330
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,"White, Non-Hispanic",43.4,37.2 to 49.8,396
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,"White, Non-Hispanic",50.5,44.3 to 56.6,298
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.7,,473
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,"White, Non-Hispanic",58.8,55.0 to 62.4,814
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,"White, Non-Hispanic",66.5,62.9 to 69.9,695
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",57.3,48.3 to 65.9,189
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.7,47.9 to 59.4,294
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.5,40.8 to 48.2,1056
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,"White, Non-Hispanic",55.8,50.2 to 61.2,391
Tdap,States,Arkansas,2011,Age,≥18 Years,3.8,1.4 to 9.6,234
Tdap,States,Delaware,2011,Age,≥18 Years,6.7,4.2 to 10.4,287
Tdap,States,Georgia,2011,Age,≥18 Years,6.9,3.5 to 13.1,301
Tdap,States,Maine,2011,Age,≥18 Years,8.2,4.8 to 13.6,272
Tdap,States,Maryland,2011,Age,≥18 Years,13.7,9.0 to 20.5,375
Tdap,States,Massachusetts,2011,Age,≥18 Years,9.9,6.7 to 14.4,314
Tdap,States,Minnesota,2011,Age,≥18 Years,11.9,8.6 to 16.3,359
Tdap,States,Missouri,2011,Age,≥18 Years,6.4,3.9 to 10.5,298
Tdap,States,Nebraska,2011,Age,≥18 Years,9.9,7.2 to 13.5,439
Tdap,States,New Jersey,2011,Age,≥18 Years,12.6,9.4 to 16.8,378
Tdap,States,New Mexico,2011,Age,≥18 Years,9.0,6.4 to 12.5,364
Tdap,States,New York,2011,Age,≥18 Years,8.9,6.3 to 12.5,564
Tdap,States,Oklahoma,2011,Age,≥18 Years,9.1,4.9 to 16.3,382
Tdap,National,U.S. Median,2011,Age,≥18 Years,10.9,,321
Tdap,States,Utah,2011,Age,≥18 Years,12.1,8.6 to 16.8,328
Tdap,States,Vermont,2011,Age,≥18 Years,11.6,8.1 to 16.4,248
Tdap,States,Washington,2011,Age,≥18 Years,13.5,9.5 to 18.9,288
Tdap,States,West Virginia,2011,Age,≥18 Years,5.4,3.3 to 8.7,406
Tdap,States,Wyoming,2011,Age,≥18 Years,9.4,5.1 to 16.7,143
Tdap,States,Colorado,2012,Age,≥18 Years,20.5,17.2 to 24.2,1033
Tdap,States,Delaware,2012,Age,≥18 Years,8.2,6.5 to 10.3,850
Tdap,States,Illinois,2012,Age,≥18 Years,15.5,13.1 to 18.3,882
Tdap,States,Missouri,2012,Age,≥18 Years,14.0,11.3 to 17.2,688
Tdap,States,Oklahoma,2012,Age,≥18 Years,15.8,12.8 to 19.5,1477
Tdap,States,Pennsylvania,2012,Age,≥18 Years,9.1,6.9 to 12.0,669
Tdap,States,Rhode Island,2012,Age,≥18 Years,23.4,20.8 to 26.2,1011
Tdap,National,U.S. Median,2012,Age,≥18 Years,15.7,,947
Tdap,States,Wisconsin,2012,Age,≥18 Years,18.8,15.6 to 22.5,1208
Tdap,States,Colorado,2013,Age,≥18 Years,49.4,45.8 to 53.0,1438
Tdap,States,Delaware,2013,Age,≥18 Years,25.6,22.7 to 28.7,862
Tdap,States,Illinois,2013,Age,≥18 Years,31.3,28.4 to 34.3,1171
Tdap,States,Missouri,2013,Age,≥18 Years,26.4,23.4 to 29.6,981
Tdap,States,New York,2013,Age,≥18 Years,27.1,23.3 to 31.2,926
Tdap,States,Oklahoma,2013,Age,≥18 Years,28.0,24.3 to 32.1,1543
Tdap,States,Pennsylvania,2013,Age,≥18 Years,30.8,27.5 to 34.4,907
Tdap,States,Rhode Island,2013,Age,≥18 Years,45.6,42.3 to 49.0,1010
Tdap,National,U.S. Median,2013,Age,≥18 Years,30.8,,1010
Tdap,States,Wisconsin,2013,Age,≥18 Years,43.3,39.0 to 47.8,1198
Tdap,States,Delaware,2014,Age,≥18 Years,42.7,39.2 to 46.3,787
Tdap,States,Illinois,2014,Age,≥18 Years,44.7,41.7 to 47.8,1214
Tdap,States,Missouri,2014,Age,≥18 Years,49.1,45.6 to 52.6,1002
Tdap,States,New York,2014,Age,≥18 Years,43.2,38.8 to 47.7,787
Tdap,States,Oklahoma,2014,Age,≥18 Years,41.0,36.8 to 45.4,1575
Tdap,States,Pennsylvania,2014,Age,≥18 Years,49.8,46.2 to 53.5,942
Tdap,States,Rhode Island,2014,Age,≥18 Years,64.3,61.1 to 67.3,1073
Tdap,National,U.S. Median,2014,Age,≥18 Years,46.9,,1038
Tdap,States,Wisconsin,2014,Age,≥18 Years,60.5,56.2 to 64.6,1203
Tdap,States,Colorado,2015,Age,≥18 Years,69.2,66.0 to 72.3,1522
Tdap,States,Delaware,2015,Age,≥18 Years,50.1,46.6 to 53.7,816
Tdap,States,Illinois,2015,Age,≥18 Years,50.8,47.8 to 53.7,1309
Tdap,States,Missouri,2015,Age,≥18 Years,57.7,54.1 to 61.2,988
Tdap,States,New Mexico,2015,Age,≥18 Years,52.6,49.8 to 55.4,1199
Tdap,States,New York,2015,Age,≥18 Years,52.4,47.9 to 56.8,812
Tdap,States,Oklahoma,2015,Age,≥18 Years,48.7,44.6 to 52.8,1628
Tdap,States,Pennsylvania,2015,Age,≥18 Years,62.1,58.5 to 65.6,933
Tdap,States,Texas,2015,Age,≥18 Years,42.3,38.7 to 46.0,1087
Tdap,National,U.S. Median,2015,Age,≥18 Years,52.6,,1087
Tdap,States,Virginia,2015,Age,≥18 Years,61.4,56.5 to 66.1,642
Tdap,States,Wisconsin,2015,Age,≥18 Years,68.2,63.9 to 72.3,1160
Tdap,States,Arkansas,2016,Age,≥18 Years,64.3,59.3 to 69.1,755
Tdap,States,Colorado,2016,Age,≥18 Years,71.8,68.6 to 74.9,1443
Tdap,States,Delaware,2016,Age,≥18 Years,69.7,66.3 to 72.9,836
Tdap,States,Iowa,2016,Age,≥18 Years,84.1,80.5 to 87.2,853
Tdap,States,Louisiana,2016,Age,≥18 Years,63.0,59.4 to 66.5,770
Tdap,States,Massachusetts,2016,Age,≥18 Years,86.5,83.8 to 88.8,1181
Tdap,States,Michigan,2016,Age,≥18 Years,70.8,68.0 to 73.5,1586
Tdap,States,Missouri,2016,Age,≥18 Years,73.5,70.2 to 76.5,981
Tdap,States,Nebraska,2016,Age,≥18 Years,86.0,83.5 to 88.2,1157
Tdap,States,New Hampshire,2016,Age,≥18 Years,81.7,77.5 to 85.3,540
Tdap,States,New York,2016,Age,≥18 Years,65.7,63.2 to 68.1,2049
Tdap,States,Oklahoma,2016,Age,≥18 Years,69.0,65.5 to 72.2,1624
Tdap,States,Pennsylvania,2016,Age,≥18 Years,78.0,74.8 to 80.9,977
Tdap,States,Texas,2016,Age,≥18 Years,68.0,65.0 to 70.9,1584
Tdap,National,U.S. Median,2016,Age,≥18 Years,74.0,,1105
Tdap,States,Utah,2016,Age,≥18 Years,74.0,71.0 to 76.9,1315
Tdap,States,Vermont,2016,Age,≥18 Years,82.0,79.2 to 84.5,862
Tdap,States,Virginia,2016,Age,≥18 Years,74.4,69.7 to 78.5,624
Tdap,States,Washington,2016,Age,≥18 Years,79.4,76.2 to 82.3,1179
